# Body text and see_also omitted. Full content in json/glossary.json
id,name,category,subcategory,era,also_known_as,short,source,ruler_id,image_url,wikipedia_en,wikipedia_he
ibn-jubayr,Ibn Jubayr,people,travellers-muslim,1145 – 1217,Abu al-Husayn Muhammad ibn Ahmad ibn Jubayr al-Kinani,Andalusian Arab traveller and secretary to the governor of Granada whose Rihla — the great twelfth-century Arabic travel diary — is the most quoted Muslim eyewitness account of the Crusader states at the height of Saladin's power.,authored,,,https://en.wikipedia.org/wiki/Ibn_Jubayr,
ali-al-harawi,Ali al-Harawi,people,travellers-muslim,d. 1215,Abu al-Hasan Ali ibn Abi Bakr al-Harawi,"Persian-born Sufi traveller and pilgrimage geographer whose Kitab al-Isharat — a guide to the holy graves and shrines of Islam — was compiled from a working life on the road across the central Islamic world, including the Crusader Levant.",authored,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Aleppo_Citadel_01.jpg,https://en.wikipedia.org/wiki/Ali_of_Herat,
john-of-ibelin,John of Ibelin,people,notables,c. 1179 – 1236,the Old Lord of Beirut; Jean d'Ibelin le Vieux,"Lord of Beirut, regent of the kingdom, and the defining figure of 13th-century baronial politics — the principal architect of the Ibelin party that opposed Frederick II.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Blason_maison_d%27Ibelin.svg/960px-Blason_maison_d%27Ibelin.svg.png,"https://en.wikipedia.org/wiki/John_of_Ibelin,_Lord_of_Beirut",
saladin,Saladin (Salah ad-Din),people,adversaries,c. 1137 – 1193,Salah ad-Din Yusuf ibn Ayyub; An-Nasir Salah ad-Din,Kurdish-born sultan who unified Egypt and Syria under the Ayyubid dynasty and retook Jerusalem from the Franks in 1187.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Al-Nasir_I_Salah_al-Din_Yusuf_%28Saladin%29._AH_564-589_%281169-1193_CE%29_%C3%86_Dirham_%2830.1mm%2C_13.28_g%2C_6h%29._Without_mint-name._Dated_AH_586_%28AD_1190-91%29._Sultan_sitting_facing%2C_cross-legged%2C_on_high-backed_throne_%28obverse%29.jpg/960px-thumbnail.jpg,https://en.wikipedia.org/wiki/Saladin,https://he.wikipedia.org/wiki/%D7%A1%D7%9C%D7%90%D7%97_%D7%90-%D7%93%D7%99%D7%9F
house-of-ibelin,House of Ibelin,houses,,12th–14th c.,Ibelins,"The most influential baronial dynasty of the 13th-century kingdom, holding at various points Beirut, Jaffa, Arsuf, Caesarea, and the regencies of Jerusalem and Cyprus.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Blason_maison_d%27Ibelin.svg/960px-Blason_maison_d%27Ibelin.svg.png,https://en.wikipedia.org/wiki/House_of_Ibelin,
house-of-lusignan,House of Lusignan,houses,,12th–15th c.,Lusignans,Poitevin dynasty that produced two kings of Jerusalem (Guy and Aimery) and ruled the Kingdom of Cyprus from 1192 until 1474.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Coat_of_Arms_of_the_House_of_Lusignan_%28Kings_of_Armenia%2C_Cyprus_and_Jerusalem%29.svg/960px-Coat_of_Arms_of_the_House_of_Lusignan_%28Kings_of_Armenia%2C_Cyprus_and_Jerusalem%29.svg.png,https://en.wikipedia.org/wiki/House_of_Lusignan,
house-of-boulogne,House of Boulogne,houses,,founded the kingdom 1099,,The family of Godfrey of Bouillon and his brother Baldwin I — the first ruling line of the Kingdom of Jerusalem.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Blason_comt%C3%A9_fr_Boulogne.svg/960px-Blason_comt%C3%A9_fr_Boulogne.svg.png,https://en.wikipedia.org/wiki/Count_of_Boulogne,
house-of-montferrat,House of Montferrat,houses,,12th–14th c.,Aleramici,"Powerful north-Italian marcher dynasty whose sons and daughters married into the royal house of Jerusalem repeatedly across two generations, producing among others Conrad of Montferrat and Queen Maria.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Arms_of_the_house_of_Del_Vasto.svg/960px-Arms_of_the_house_of_Del_Vasto.svg.png,https://en.wikipedia.org/wiki/Aleramici,
outremer,Outremer,society,society,12th–13th c. usage,Outre-mer; Ultramar,"Old French for 'overseas' — the Frankish-language name for the Crusader states collectively, embracing Jerusalem, Tripoli, Antioch, and Edessa.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/The_Crusader_States_in_1135.svg/960px-The_Crusader_States_in_1135.svg.png,https://en.wikipedia.org/wiki/Crusader_states#Outremer,
pullani,Pullani (Poulains),society,society,12th–13th c.,Poulains; native Franks,"Locally-born Franks of the Latin East — sometimes a neutral demonym, sometimes a pejorative used by newcomers from Europe to suggest softness or assimilation.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/The_Crusader_States_in_1135.svg/960px-The_Crusader_States_in_1135.svg.png,https://en.wikipedia.org/wiki/Crusader_states,
frank-and-saracen,Frank / Saracen,society,society,11th–13th c. usage,Faranj; Sarrazins,The principal umbrella terms for Latin Christians (Frank / Faranj) and Muslims (Saracen / Sarrazin) in Latin and Arabic sources of the period — both imprecise.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Erhard_Reuwich_Sarazenen_1486.png/960px-Erhard_Reuwich_Sarazenen_1486.png,https://en.wikipedia.org/wiki/Saracen,https://he.wikipedia.org/wiki/%D7%A1%D7%A8%D7%A6%D7%A0%D7%99%D7%9D
fatimid-caliphate,Fatimid Caliphate,society,polities,909 – 1171,al-Khilafa al-Fatimiyya; Fatimid Egypt,Shi'a Isma'ili caliphate based in Cairo whose loss of Jerusalem to the First Crusade and slow eclipse by Saladin set the political shape of the early Latin East.,authored,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Fatimid_Caliphate.PNG,https://en.wikipedia.org/wiki/Fatimid_Caliphate,https://he.wikipedia.org/wiki/%D7%A4%D7%90%D7%98%D7%9E%D7%99%D7%9D
burid-dynasty,Burid Dynasty,society,polities,1104 – 1154,Burid emirate; atabegs of Damascus,"Turkic atabeg dynasty of Damascus that held the city as an independent buffer between the Crusader states and the rising Zengid power, ending in surrender to Nur ad-Din in 1154.",authored,,https://upload.wikimedia.org/wikipedia/commons/8/87/Burids._Shihab_al-Din_Mahmud_%281135-1140%29_Dimashq_mint._Dated_AH_533_%28AD_1138-9%29.jpg,https://en.wikipedia.org/wiki/Burid_dynasty,
zengid-dynasty,Zengid Dynasty,society,polities,1127 – 1250,Banu Zangi; atabegs of Mosul and Aleppo,Turkic Sunni dynasty of Mosul and Aleppo whose conquest of Edessa in 1144 triggered the Second Crusade and whose sponsorship of the rise of Saladin produced the unified Sunni state that would retake Jerusalem.,authored,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Zengid_territory.png,https://en.wikipedia.org/wiki/Zengid_dynasty,
ayyubid-sultanate,Ayyubid Dynasty,society,polities,1171 – 1260s,Banu Ayyub; Sultanate of Egypt and Syria,Sunni Kurdish dynasty founded by Saladin on the ruins of the Fatimid Caliphate; the Ayyubid state was the central Muslim power against the Crusader kingdom from 1187 until the Mamluk takeover of Egypt in 1250.,authored,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Ayyubid_Sultanate_1193_AD.jpg,https://en.wikipedia.org/wiki/Ayyubid_dynasty,https://he.wikipedia.org/wiki/%D7%94%D7%A9%D7%95%D7%A9%D7%9C%D7%AA_%D7%94%D7%90%D7%99%D7%95%D7%91%D7%99%D7%AA
mamluk-sultanate,Mamluk Sultanate,society,polities,1250 – 1517,Sultanate of Cairo; Bahri Mamluks; State of the Turks,"Slave-soldier sultanate of Egypt that destroyed the Mongol field army at Ain Jalut in 1260 and over the next three decades reduced every Crusader stronghold on the Levantine coast — Antioch in 1268, Tripoli in 1289, Acre in 1291.",authored,,https://upload.wikimedia.org/wikipedia/commons/1/1d/Mamluk_Sultanate_of_Cairo_1317_AD.jpg,https://en.wikipedia.org/wiki/Mamluk_Sultanate,https://he.wikipedia.org/wiki/%D7%9E%D7%9E%D7%9C%D7%95%D7%9B%D7%99%D7%9D
nizari-ismaili-state,Nizari Ismaili State,society,polities,1090 – 1273 (Syria),the Assassins; Hashashin; Order of Assassins,Network of Isma'ili mountain fortresses in Persia and Syria — the 'Assassins' of the Latin sources — whose practice of targeted political killing made them a small but uniquely feared element of crusading-era Levantine politics.,authored,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Alamut.png,https://en.wikipedia.org/wiki/Nizari_Ismaili_state,
khwarazmian-dynasty,Khwarazmian Dynasty,society,polities,1077 – 1231,Khwarezmian Empire; Khwarezmshahs,Persianate Sunni empire of Central Asia that touched Crusader history twice — through the destruction of the Seljuk world in the early 13th century and through the Khwarazmian remnants who sacked Jerusalem and crushed the Frankish army at La Forbie in 1244.,authored,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Map_of_the_Khwarazmian_Empire.png,https://en.wikipedia.org/wiki/Khwarazmian_Empire,
seljuk-empire,Seljuk Empire,society,polities,1037 – 1194,Great Seljuks; Seljukid Empire,"Turco-Persianate Sunni empire whose victory at Manzikert in 1071 opened Anatolia to Turkic settlement, and whose disintegration after 1092 created the political vacuum into which the First Crusade marched.",authored,,https://upload.wikimedia.org/wikipedia/commons/5/56/Map_of_the_Seljuk_Empire_%281092%29.png,https://en.wikipedia.org/wiki/Seljuk_Empire,https://he.wikipedia.org/wiki/%D7%94%D7%90%D7%99%D7%9E%D7%A4%D7%A8%D7%99%D7%94_%D7%94%D7%A1%D7%9C%D7%92%27%D7%95%D7%A7%D7%99%D7%AA
artuqids,Artuqids,society,polities,1102 – 1409,Artukids; Artuklu Beyliği,Turkmen dynasty of the upper Tigris and Diyarbakır region whose victory over Roger of Antioch at the Field of Blood in 1119 was one of the most damaging Frankish defeats in the principality's history.,authored,,https://upload.wikimedia.org/wikipedia/commons/9/9b/Artuqidsmap.jpg,https://en.wikipedia.org/wiki/Artuqids,
william-of-tyre-historia,Historia rerum in partibus transmarinis gestarum,society,sources,compiled c. 1170–1184,William of Tyre's Chronicle,William of Tyre's Latin chronicle — the central narrative source for the Kingdom of Jerusalem from 1095 to 1184.,authored,,https://upload.wikimedia.org/wikipedia/commons/0/05/William_of_tyre.jpg,https://en.wikipedia.org/wiki/William_of_Tyre#Chronicle,https://he.wikipedia.org/wiki/%D7%95%D7%99%D7%9C%D7%99%D7%90%D7%9D_%D7%9E%D7%A6%D7%95%D7%A8
eracles,Eracles (Old French Continuation),society,sources,compiled 13th c.,Estoire d'Eracles; L'Estoire de Eracles Empereur; Continuation of William of Tyre,13th-century Old French translation and continuation of William of Tyre — the principal narrative source for the kingdom from 1184 to its end.,authored,,https://upload.wikimedia.org/wikipedia/commons/9/98/BL_Heraclius_carrying_the_True_Cross%2C_Livre_d%27Eracles_Royal_15_E._i%2C_f._16%2C_Sept_BL_blog.jpg,https://en.wikipedia.org/wiki/Estoire_d%27Eracles,
assises-de-jerusalem-mss,Assises de Jérusalem (legal manuscripts),society,sources,compiled mostly mid-13th c.,Livre de Jean d'Ibelin; Livre au roi; Livre de Philippe de Novare,The surviving 13th-century treatises that record the customary law of the Kingdom of Jerusalem — the practical body of evidence for what the Assizes actually were.,authored,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Fran%C3%A7ais_9081%2C_fol._296%2C_Mariage_de_Gui_de_Lusignan_et_Sibylle_de_J%C3%A9rusalem.jpeg,https://en.wikipedia.org/wiki/Assizes_of_Jerusalem,
revolt-of-hugh-of-jaffa,Revolt of Hugh II of Jaffa,civil-wars,,1134,Hugh of Le Puiset's revolt,The first major internal rebellion in the kingdom — Count Hugh II of Jaffa's challenge to King Fulk after Fulk tried to sideline Queen Melisende and the local Frankish nobility.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Atentat.jpg/960px-Atentat.jpg,https://en.wikipedia.org/wiki/Hugh_II_of_Jaffa,
melisende-baldwin-iii-civil-war,Civil War between Melisende and Baldwin III,civil-wars,,1152,Mother–son war,The brief but decisive struggle between Queen Melisende and her grown son Baldwin III for sole rule of the kingdom — the only time the Tower of David was besieged by its own queen's son.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Baudouin_III_sermonnant_M%C3%A9lissende.jpg/960px-Baudouin_III_sermonnant_M%C3%A9lissende.jpg,https://en.wikipedia.org/wiki/Melisende%2C_Queen_of_Jerusalem,
succession-crisis-1186,Succession Crisis of 1185–1186,civil-wars,,1185–1186,Coup of Sibylla and Guy,The bitter factional struggle that followed the deaths of the leper king Baldwin IV and the boy-king Baldwin V — and the chaotic coronation that handed the kingdom to Guy of Lusignan a year before Hattin.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Fran%C3%A7ais_2629%2C_fol._300%2C_Couronnement_de_Gui_de_Lusignan.jpeg/960px-Fran%C3%A7ais_2629%2C_fol._300%2C_Couronnement_de_Gui_de_Lusignan.jpeg,https://en.wikipedia.org/wiki/Sibylla%2C_Queen_of_Jerusalem,
war-of-the-lombards,War of the Lombards,civil-wars,,1228–1243,Imperial–Ibelin war,The fifteen-year struggle between supporters of the Holy Roman Emperor Frederick II and the local baronial party led by the Ibelins — out of which emerged the most fully articulated feudal constitution of the medieval Latin East.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Saint_Hilarion_Castle%2C_Northern_Cyprus_-_panoramio_%286%29.jpg/960px-Saint_Hilarion_Castle%2C_Northern_Cyprus_-_panoramio_%286%29.jpg,https://en.wikipedia.org/wiki/War_of_the_Lombards,
war-of-saint-sabas,War of Saint Sabas,civil-wars,,1256–1258,Saint Sabas war,A property dispute between Venice and Genoa in Acre that escalated into a kingdom-wide civil war pulling in nearly every major faction and permanently weakening the realm's defences.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Mar_Saba_%28Photo_by_Jean_%26_Nathalie%2C_2011%29.jpg/960px-Mar_Saba_%28Photo_by_Jean_%26_Nathalie%2C_2011%29.jpg,https://en.wikipedia.org/wiki/War_of_Saint_Sabas,
hugh-iii-charles-of-anjou-dispute,Dispute between Hugh III and Charles of Anjou,civil-wars,,1277–1285,Angevin–Lusignan crown dispute,The final dynastic struggle for the throne of Jerusalem — between the resident Lusignan king of Cyprus and the absentee Charles of Anjou — that paralysed the kingdom on the eve of the Mamluk conquest.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Charles_of_Sicily.jpg/960px-Charles_of_Sicily.jpg,https://en.wikipedia.org/wiki/Hugh_III_of_Cyprus,
county-of-edessa,County of Edessa,crusader-states,core,1098–1150,Comitatus Edessanus,The first and most exposed of the Crusader states — an inland Armenian–Frankish principality across the Euphrates that was also the first to fall.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Banner_of_the_County_of_Edessa.png/960px-Banner_of_the_County_of_Edessa.png,https://en.wikipedia.org/wiki/County_of_Edessa,
principality-of-antioch,Principality of Antioch,crusader-states,core,1098–1268,Principatus Antiochiae,The Norman-founded northern Crusader state with its capital at Antioch — held for 170 years before Baybars took the city in 1268.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Banner_of_the_Principality_of_Antioch.png/960px-Banner_of_the_Principality_of_Antioch.png,https://en.wikipedia.org/wiki/Principality_of_Antioch,
kingdom-of-jerusalem,Kingdom of Jerusalem,crusader-states,core,1099–1291,Latin Kingdom of Jerusalem; Regnum Hierosolymitanum,"The largest and longest-lived of the four classic Crusader states, founded after the conquest of Jerusalem in 1099 and surviving in coastal form until the fall of Acre in 1291.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Vexillum_Regni_Hierosolymae.svg/960px-Vexillum_Regni_Hierosolymae.svg.png,https://en.wikipedia.org/wiki/Kingdom_of_Jerusalem,https://he.wikipedia.org/wiki/%D7%9E%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D
county-of-tripoli,County of Tripoli,crusader-states,core,1102–1289,Comitatus Tripolitanus,"The southern-Frankish coastal county on the Lebanese seaboard, founded by Raymond IV of Toulouse and held for almost two centuries before its capture by Qalawun in 1289.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/MapofTripoli.png/960px-MapofTripoli.png,https://en.wikipedia.org/wiki/County_of_Tripoli,
kingdom-of-cyprus,Kingdom of Cyprus,crusader-states,broader,1192–1489,Lusignan Cyprus; Regnum Cypri,The Lusignan island kingdom founded by Richard the Lionheart's sale of conquered Cyprus to Guy of Lusignan in 1192 — the longest-lasting Crusader state of all.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Medieval_Cyprus.png/960px-Medieval_Cyprus.png,https://en.wikipedia.org/wiki/Kingdom_of_Cyprus,
latin-empire-of-constantinople,Latin Empire of Constantinople,crusader-states,broader,1204–1261,Imperium Constantinopolitanum; Latin Romania,"The short-lived Frankish empire founded on the ruins of Byzantium after the sack of Constantinople in 1204, and the parent state of the broader Frankish Greece.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/LatinEmpire2.png/960px-LatinEmpire2.png,https://en.wikipedia.org/wiki/Latin_Empire,
kingdom-of-thessalonica,Kingdom of Thessalonica,crusader-states,broader,1204–1224,Regno di Salonicco,The shortest-lived of the Crusader states — a Latin kingdom in northern Greece carved out for Boniface of Montferrat after the Fourth Crusade and conquered by the Despotate of Epirus in 1224.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/LDAM_%28f._024v%29_Rei_de_Salonica.jpg/960px-LDAM_%28f._024v%29_Rei_de_Salonica.jpg,https://en.wikipedia.org/wiki/Kingdom_of_Thessalonica,
principality-of-achaea,Principality of Achaea,crusader-states,broader,1205–1432,Principality of Morea; Principatus Achaeae,"The most successful and longest-lived of the Frankish states in mainland Greece — the Latin lordship of the Peloponnese (Morea), founded after the Fourth Crusade.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Coat_of_arms_of_the_Principality_of_Achaea.svg/960px-Coat_of_arms_of_the_Principality_of_Achaea.svg.png,https://en.wikipedia.org/wiki/Principality_of_Achaea,
duchy-of-athens,Duchy of Athens,crusader-states,broader,1205–1458,Ducatus Athenarum,"The Frankish duchy that ruled Athens, Thebes, and most of central Greece for over two and a half centuries — passing in turn through Burgundian, Catalan, and Florentine hands.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Arms_of_the_House_of_de_la_Roche.svg/960px-Arms_of_the_House_of_de_la_Roche.svg.png,https://en.wikipedia.org/wiki/Duchy_of_Athens,
duchy-of-naxos,Duchy of Naxos,crusader-states,broader,1207–1579,Duchy of the Archipelago; Duchy of the Aegean,"The Venetian-Cycladic duchy founded by Marco Sanudo in the wake of the Fourth Crusade — a maritime principality of two dozen Aegean islands, the longest-lived Frankish state of all.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Coat_of_Arms_of_the_House_of_Sanudo.svg/960px-Coat_of_Arms_of_the_House_of_Sanudo.svg.png,https://en.wikipedia.org/wiki/Duchy_of_the_Archipelago,
godfrey,Godfrey of Bouillon,monarchs,jerusalem,1099–1100,Advocatus Sancti Sepulchri,Advocate of the Holy Sepulchre (1099–1100),rulers,godfrey,Godfrey_of_Bouillon_(cropped).jpg,https://en.wikipedia.org/wiki/Godfrey_of_Bouillon,https://he.wikipedia.org/wiki/%D7%92%D7%95%D7%98%D7%A4%D7%A8%D7%99%D7%93_%D7%9E%D7%91%D7%95%D7%99%D7%95%D7%9F
baldwin-i,Baldwin I,monarchs,jerusalem,1100–1118,first King of Jerusalem,King of Jerusalem (1100–1118),rulers,baldwin-i,Baldwin_1_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Baldwin_I_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%9F,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
baldwin-ii,Baldwin II,monarchs,jerusalem,1118–1131,of Bourcq,King of Jerusalem (1118–1131),rulers,baldwin-ii,Coin_Baldwin2.jpg,https://en.wikipedia.org/wiki/Baldwin_II_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A9%D7%A0%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
melisende,Melisende,monarchs,jerusalem,1131–1152,Queen regnant of Jerusalem,Queen of Jerusalem (1131–1152),rulers,melisende,Coronation_of_Melisende.jpg,https://en.wikipedia.org/wiki/Melisende%2C_Queen_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%99%D7%A1%D7%A0%D7%93%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
fulk,Fulk,monarchs,jerusalem,1131–1143,Fulk V of Anjou,King of Jerusalem (1131–1143),rulers,fulk,Fulko_jeune.jpg,https://en.wikipedia.org/wiki/Fulk%2C_King_of_Jerusalem,https://he.wikipedia.org/wiki/%D7%A4%D7%95%D7%9C%D7%A7_%D7%9E%D7%90%D7%A0%D7%96%27%D7%95
baldwin-iii,Baldwin III,monarchs,jerusalem,1143–1163,the first poulain king,King of Jerusalem (1143–1163),rulers,baldwin-iii,Baudouin_III_apprenant_la_nouvelle_(cropped).jpg,https://en.wikipedia.org/wiki/Baldwin_III_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A9%D7%9C%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
amalric-i,Amalric I,monarchs,jerusalem,1163–1174,the clerkly king,King of Jerusalem (1163–1174),rulers,amalric-i,Amalric_receives_a_message_(cropped).jpg,https://en.wikipedia.org/wiki/Amalric%2C_King_of_Jerusalem,
baldwin-iv,Baldwin IV,monarchs,jerusalem,1174–1185,the Leper King,King of Jerusalem (1174–1185),rulers,baldwin-iv,King_Baldwin_IV.png,https://en.wikipedia.org/wiki/Baldwin_IV_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A8%D7%91%D7%99%D7%A2%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
baldwin-v,Baldwin V,monarchs,jerusalem,1185–1186,the child king,King of Jerusalem (1185–1186),rulers,baldwin-v,Baldwin_V_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Baldwin_V_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%97%D7%9E%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
sibylla,Sibylla,monarchs,jerusalem,1186–1190,Queen regnant of Jerusalem,Queen of Jerusalem (1186–1190),rulers,sibylla,Queen_Sibyl_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Sibylla%2C_Queen_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%A1%D7%99%D7%91%D7%99%D7%9C%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
guy-of-lusignan,Guy of Lusignan,monarchs,jerusalem,1186–1192,the king of the disaster,King of Jerusalem (1186–1192),rulers,guy-of-lusignan,Coin_issued_by_Guy_de_Lusignan_during_when_he_was_Lord_of_Cyprus_(Crop).png,https://en.wikipedia.org/wiki/Guy_of_Lusignan,https://he.wikipedia.org/wiki/%D7%92%D7%99_%D7%93%D7%94_%D7%9C%D7%99%D7%96%D7%99%D7%A0%D7%99%D7%90%D7%9F
isabella-i,Isabella I,monarchs,jerusalem,1190–1205,queen of four husbands,Queen of Jerusalem (1190–1205),rulers,isabella-i,Isabella_I_of_Jerusalem.jpeg,https://en.wikipedia.org/wiki/Isabella_I_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%96%D7%91%D7%9C_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
conrad-of-montferrat,Conrad of Montferrat,monarchs,jerusalem,1192,defender of Tyre,King-elect of Jerusalem (1192),rulers,conrad-of-montferrat,IsabelaKOnrad.jpg,https://en.wikipedia.org/wiki/Conrad_of_Montferrat,https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%A0%D7%A8%D7%93_%D7%9E%D7%9E%D7%95%D7%A0%D7%A4%D7%A8%D7%90%D7%98%D7%95
henry-ii-champagne,Henry II of Champagne,monarchs,jerusalem,1192–1197,Lord of the Kingdom of Jerusalem,Lord of the Kingdom of Jerusalem (1192–1197),rulers,henry-ii-champagne,Henry_2_of_Champagne.jpg,https://en.wikipedia.org/wiki/Henry_II%2C_Count_of_Champagne,"https://he.wikipedia.org/wiki/%D7%90%D7%A0%D7%A8%D7%99_%D7%94%D7%A9%D7%A0%D7%99,_%D7%A8%D7%95%D7%96%D7%9F_%D7%A9%D7%9E%D7%A4%D7%90%D7%9F"
aimery,Aimery of Lusignan,monarchs,jerusalem,1197–1205,king of two crowns,King of Jerusalem & Cyprus (1197–1205),rulers,aimery,Aimery_II_de_Lusignan.png,https://en.wikipedia.org/wiki/Aimery_of_Cyprus,"https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%9C%D7%A8%D7%99%D7%9A_%D7%94%D7%A9%D7%A0%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
maria-of-montferrat,Maria of Montferrat,monarchs,jerusalem,1205–1212,la Marquise,Queen of Jerusalem (1205–1212),rulers,maria-of-montferrat,Marie_de_Montferrat.jpg,https://en.wikipedia.org/wiki/Maria_of_Montferrat,https://he.wikipedia.org/wiki/%D7%9E%D7%A8%D7%99%D7%94_%D7%9E%D7%9E%D7%95%D7%A0%D7%A4%D7%A8%D7%90%D7%98%D7%95
john-of-brienne,John of Brienne,monarchs,jerusalem,1210–1225,the soldier-king,King of Jerusalem (1210–1225),rulers,john-of-brienne,Jean_de_Brienne.jpg,https://en.wikipedia.org/wiki/John_of_Brienne,https://he.wikipedia.org/wiki/%D7%96%27%D7%90%D7%9F_%D7%93%D7%94_%D7%91%D7%A8%D7%99%D7%99%D7%9F
isabella-ii,Isabella II,monarchs,jerusalem,1212–1228,Yolande of Jerusalem,Queen of Jerusalem (1212–1228),rulers,isabella-ii,Yolande_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Isabella_II_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%96%D7%91%D7%9C_%D7%94%D7%A9%D7%A0%D7%99%D7%99%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
