id,record_type,primary_name,alternative_names,medieval_names,modern_names,site_type,historical_category,title_or_designation,description,historical_significance,modern_location,latitude,longitude,coordinate_accuracy,modern_country,modern_region,crusader_state_or_polity,lordship_or_fief,accessibility,wikipedia_url,wikidata_id,primary_sources,secondary_sources,source_notes,uncertainty_notes,fortified_status,visible_remains,has_harbor,wikipedia_he_url,image_filename,crusaderatlas_url,landing_page_url
site/crusader-church-of-caesarea-maritima,site,Crusader Church of Caesarea Maritima,,,,Church or religious site,Religious site,,"Three-apsed Romanesque church built in twelfth-century Crusader Caesarea. Louis IX of France, who spent four years in the Holy Land after his defeat in Egypt, heavily refortified the town's walls in 1251–1252. In 1265 the town and church fell to the Mamluk sultan Baibars, who razed the city so thoroughly — tearing down its harbour, walls and churches — that no Frankish re-occupation would ever be possible. The church's apsidal foundations, partly excavated, still stand within the Israeli national park.",,Crusader Church of Caesarea Maritima,32.5015,34.8928,approximate,Israel,,Kingdom of Jerusalem,Lordship of Caesarea,,https://en.wikipedia.org/wiki/Caesarea_Maritima,Q319242,,,coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source.,definite,yes,,https://he.wikipedia.org/wiki/%D7%A7%D7%99%D7%A1%D7%A8%D7%99%D7%94,Crusader_Church_Caesarea_Maritima.JPG,https://crusaderatlas.com/?site=crusader-church-of-caesarea-maritima,https://crusaderatlas.com/sites/crusader-church-of-caesarea-maritima/
site/crusader-church-abu-ghosh,site,"Crusader Church, Abu Ghosh",Church of the Resurrection | Hospitaller Church of Abu Ghosh | Kiryat Ye'arim Church,,,Church or religious site,Religious site,,"The Crusader church at Abu Ghosh was built around 1141 by the Knights Hospitaller over a natural spring, which feeds a cistern in the crypt. The village was identified in the twelfth century with the biblical Emmaus, the place where the risen Christ appeared to two disciples. The church preserves remarkable twelfth-century frescoes in the apse and crypt, making it one of the most important surviving examples of Crusader religious art. It is now maintained by French Benedictine monks and is open to the public.",,"Abu Ghosh, Israel",31.8074,35.1075,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Abu_Ghosh,Q335023,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,yes,,https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%95_%D7%92%D7%95%D7%A9,Resurrection_Church_Abu_Ghosh.jpg,https://crusaderatlas.com/?site=crusader-church-abu-ghosh,https://crusaderatlas.com/sites/crusader-church-abu-ghosh/
site/emmaus-nicopolis,site,Emmaus Nicopolis,Amwas | Imwas | Emmaus | Nicopolis,,,Church or religious site,Religious site,,"Emmaus Nicopolis, in the Ayalon Valley near Latrun, was one of the traditional sites for the New Testament Emmaus. The Crusaders built a church here in the twelfth century on the ruins of a large Byzantine basilica, reusing Roman and earlier masonry. The remains of both the Crusader and Byzantine churches are preserved in an open-air archaeological park run by a small community near Canada Park.",,"Ayalon Valley, near Latrun, Israel",31.83917,34.98944,verified,Israel,,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Emmaus_Nicopolis,Q165887,,,coordinate source: wikipedia; coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,yes,,https://he.wikipedia.org/wiki/%D7%A2%D7%9E%D7%95%D7%90%D7%A1,Emmaus_Nicopolis_basilica.jpg,https://crusaderatlas.com/?site=emmaus-nicopolis,https://crusaderatlas.com/sites/emmaus-nicopolis/
site/hospitaller-church-of-saint-john-acre,site,"Hospitaller Church of Saint John, Acre",Saint-Jean-d'Acre | Hospitaller Commandery of Acre,,,Church or religious site,Religious site,,"The Knights Hospitaller's principal commandery in Acre — the international headquarters of the order from 1191 until the city's fall in 1291 — included a three-aisled Romanesque church of Saint John the Baptist, a vast vaulted refectory, a knights' hall, infirmary wards, and a hospital that could accommodate more than a thousand beds. Excavations beneath the Ottoman citadel have uncovered six parallel vaulted halls with early-Gothic ribs, the dining hall with its marble columns, the underground sewer network, and the church's foundations. The complex is today an archaeological site within the UNESCO-listed Old City of Acre, accessible to visitors as the Hospitaller Halls.",,"Old City of Acre, beneath the Citadel",32.923469,35.069336,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Acre,,"https://en.wikipedia.org/wiki/Church_of_St_John_the_Baptist_(Hospitaller,_Acre)",Q66759693,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,yes,,,Israel-05011_-_Crusader_City_(33371670384).jpg,https://crusaderatlas.com/?site=hospitaller-church-of-saint-john-acre,https://crusaderatlas.com/sites/hospitaller-church-of-saint-john-acre/
site/st-annes-church-jerusalem,site,"St. Anne's Church, Jerusalem",Church of Saint Anne | Basilica of Saint Anne | Kanisat Sitt Hanne,,,Church or religious site,Religious site,,"St. Anne's Church is one of the best-preserved Crusader churches in the entire Holy Land. Built in the 1140s near the Pools of Bethesda and the Lion's Gate, it is a masterpiece of austere Romanesque architecture with superb acoustics. Tradition holds it as the birthplace of the Virgin Mary. After Saladin captured Jerusalem in 1187 he converted the church into a madrasa — the inscription above the door still reads — and it fell into disrepair until the Ottoman sultan gave it to France in 1856. Today it belongs to the White Fathers and is open to visitors.",,"Near Lion's Gate, Old City of Jerusalem",31.781358,35.236647,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,"https://en.wikipedia.org/wiki/Church_of_Saint_Anne,_Jerusalem",Q1551966,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,yes,,https://he.wikipedia.org/wiki/%D7%9B%D7%A0%D7%A1%D7%99%D7%99%D7%AA_%D7%A1%D7%A0%D7%98_%D7%90%D7%A0%D7%94,JerStAnna.jpg,https://crusaderatlas.com/?site=st-annes-church-jerusalem,https://crusaderatlas.com/sites/st-annes-church-jerusalem/
site/templum-domini-dome-of-the-rock,site,Templum Domini (Dome of the Rock),Dome of the Rock | Qubbat al-Sakhra | Temple of the Lord,,,Church or religious site,Religious site,,"The seventh-century Umayyad Dome of the Rock was the most spectacular building in Jerusalem when the Crusaders captured the city in 1099. Believing — wrongly — that the structure was a remnant of the Temple of Solomon, the Franks Christianised it without demolishing it. They placed a great gilded cross atop the dome, fixed an altar to St Nicholas on the bare bedrock of the Foundation Stone (1162), and surrounded the rock with a decorative iron grille to prevent pilgrims from chipping it for relics. An Augustinian abbey of canons regular was established to the north to serve the new church, which was known as the Templum Domini. After Saladin retook Jerusalem in 1187 the modifications were undone, the cross was thrown down, and the building was reconsecrated as a mosque, but the iron grille and the Crusader-period mosaics in the drum survived for centuries.",,"Temple Mount, Old City of Jerusalem",31.778,35.2354,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Dome_of_the_Rock,Q172077,,,coordinate source: wikipedia; coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,yes,,https://he.wikipedia.org/wiki/%D7%9B%D7%99%D7%A4%D7%AA_%D7%94%D7%A1%D7%9C%D7%A2,Jerusalem-2013(2)-Temple_Mount-Dome_of_the_Rock_(SE_exposure).jpg,https://crusaderatlas.com/?site=templum-domini-dome-of-the-rock,https://crusaderatlas.com/sites/templum-domini-dome-of-the-rock/
site/templum-salomonis-templar-headquarters,site,Templum Salomonis (Templar Headquarters),Templum Salomonis | Al-Aqsa Mosque (Templar HQ) | Solomon's Temple,,,Church or religious site,Religious site,,"The Crusaders identified the Al-Aqsa Mosque on the south end of the Temple Mount as the Templum Salomonis — Solomon's royal palace — and used it as the residence of the first two kings of Jerusalem, Baldwin I and Baldwin II. In 1118 Baldwin II moved the royal household to the Citadel by the Tower of David and granted the mosque to a small group of knights who had vowed to protect pilgrims on the road from Jaffa to Jerusalem. The new order took its name — the Knights of the Temple of Solomon, or Templars — from the building, and used it as their international headquarters for the next sixty-nine years. The Templars added houses, refectories, cellars and a new church wing of 'magnificent size and workmanship' along the outer court, and stabled their horses in the great Herodian-era subterranean vaults still known as Solomon's Stables. Saladin reconverted the complex to a mosque in 1187 and dismantled the Frankish additions, reusing some of the masonry for the nearby Dome of the Ascension.",,"Temple Mount, Old City of Jerusalem",31.77611,35.23583,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Al-Aqsa_Mosque,Q12192963,,,coordinate source: wikipedia; coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,yes,,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%92%D7%93_%D7%90%D7%9C-%D7%90%D7%A7%D7%A6%D7%90,Jerusalem-2013-Temple_Mount-Al-Aqsa_Mosque_(NE_exposure).jpg,https://crusaderatlas.com/?site=templum-salomonis-templar-headquarters,https://crusaderatlas.com/sites/templum-salomonis-templar-headquarters/
site/tomb-of-the-virgin-mary,site,Tomb of the Virgin Mary,Church of the Sepulchre of Saint Mary | Tomb of Mary,,,Church or religious site,Religious site,,"Cut partly into the bedrock at the foot of the Mount of Olives, the Crusader Church of the Sepulchre of Saint Mary marks the traditional tomb of the Virgin. The Frankish builders in the twelfth century reshaped a fifth-century Byzantine martyrium into a cruciform church with a wide forty-eight-step descending staircase that survives almost intact today. Queen Melisende of Jerusalem was buried here in 1161 in a side chapel halfway down the stairs, and the church became the principal funerary site for the royal house. Because Mary is revered in Islam as the mother of the prophet Isa, the underground crypt and the Crusader staircase were left largely intact after Saladin's reconquest in 1187, and the building remains in continuous Christian use today, shared between the Greek Orthodox and Armenian Apostolic communities.",,"Kidron Valley, Mount of Olives, Jerusalem",31.78013,35.2394,verified,Israel,,Kingdom of Jerusalem,Royal Domain - Jerusalem,,https://en.wikipedia.org/wiki/Tomb_of_the_Virgin_Mary,Q968028,,,coordinate source: wikipedia; coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,yes,,https://he.wikipedia.org/wiki/%D7%A7%D7%91%D7%A8_%D7%9E%D7%A8%D7%99%D7%9D,Mary's_Tomb_Jerusalem.jpg,https://crusaderatlas.com/?site=tomb-of-the-virgin-mary,https://crusaderatlas.com/sites/tomb-of-the-virgin-mary/
site/battle-of-ain-jalut-1260,site,Battle of Ain Jalut (1260),Ayn Jalut | Spring of Goliath,,,Battle (open-field engagement),Military engagement,,"On 3 September 1260, the Mamluk sultan Qutuz and his commander Baybars met the Mongol army of Kitbuqa at the Spring of Goliath (Ayn Jalut) in the Jezreel Valley, a few hours' march from Crusader Acre. The Crusader barons in Acre had declared a calculated neutrality and granted the Mamluks safe passage and a market through their territory — a tacit acknowledgement that the Mongol threat outweighed the Muslim one. Baybars led the Mamluk vanguard in a feigned retreat that drew the Mongols into an ambush; in the brutal hand-to-hand fighting that followed Kitbuqa was killed and the Mongol army of Syria was destroyed as a fighting force. The victory permanently halted the westward expansion of the Mongol empire and made the Mamluk sultanate the uncontested hegemon of the Near East. For the Crusader states it was a death sentence: with no Mongol counterweight, Baybars and his successors would systematically reduce the remaining Frankish fortresses over the next thirty years.",,"Spring of Harod, Jezreel Valley",32.5506,35.3569,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Battle_of_Ain_Jalut,Q244356,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%A8%D7%91_%D7%A2%D7%99%D7%9F_%D7%92%27%D7%90%D7%9C%D7%95%D7%AA,Campaign_of_the_Battle_of_Ain_Jalut_1260.svg,https://crusaderatlas.com/?site=battle-of-ain-jalut-1260,https://crusaderatlas.com/sites/battle-of-ain-jalut-1260/
site/battle-of-al-sannabra-1113,site,Battle of Al-Sannabra (1113),Battle of al-Sinnabra,,,Battle (open-field engagement),Military engagement,,"On 28 June 1113, a Seljuk army from Mosul and Damascus under Mawdud and Toghtekin caught Baldwin I's forces by surprise near the al-Sinnabra bridge at the southern end of the Sea of Galilee. The Seljuks lured the Franks across the bridge with a feigned retreat — a textbook Turkish tactic — and then enveloped them. The Crusaders lost 1,000 to 2,000 men, including 30 knights, and Baldwin barely escaped, leaving his royal banner and tent in Seljuk hands. Recognising that he could not afford a second open battle, Baldwin adopted a Fabian strategy of sheltering behind his fortifications and harassing the invader's foraging parties. After weeks of unproductive raiding the Seljuk army withdrew, establishing a defensive doctrine that would shape Crusader responses to invasion for the next seventy years.",,"Al-Sinnabra bridge, south of the Sea of Galilee",32.7174,35.5698,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Battle_of_al-Sannabra,Q4525673,,,coordinate source: wikipedia; coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,,,,,,https://crusaderatlas.com/?site=battle-of-al-sannabra-1113,https://crusaderatlas.com/sites/battle-of-al-sannabra-1113/
site/battle-of-arsuf-1191,site,Battle of Arsuf (1191),,,,Battle (open-field engagement),Military engagement,,"A masterclass in Crusader battlefield discipline. After recapturing Acre in July 1191, Richard the Lionheart began a cautious march south along the coast toward Jaffa, keeping the sea on his right and his army in tight formation. Saladin shadowed him inland, sending waves of mounted archers to provoke the Crusader cavalry into a premature charge. For days Richard's knights endured a rain of arrows without breaking ranks — an extraordinary feat of discipline. On 7 September, near the ruins of Arsuf, the Hospitallers at the rear could no longer hold and charged on their own initiative. Richard instantly committed the rest of the cavalry, turning the break in discipline into a devastating general charge that shattered Saladin's left wing. The victory did not destroy Saladin's army, but it broke the aura of invincibility he had carried since Hattin and reopened the coastal road to Jaffa.",,"Near Arsuf, Sharon Plain, Israel",32.2025,34.8125,verified,Israel,,Kingdom of Jerusalem,Lordship of Arsuf,,https://en.wikipedia.org/wiki/Battle_of_Arsuf,Q940026,,,coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%A8%D7%91_%D7%90%D7%A8%D7%A1%D7%95%D7%A3,battle_Battle_of_Arsuf_1191.jpg,https://crusaderatlas.com/?site=battle-of-arsuf-1191,https://crusaderatlas.com/sites/battle-of-arsuf-1191/
site/battle-of-ascalon-1099,site,Battle of Ascalon (1099),,,,Battle (open-field engagement),Military engagement,,"Barely a month after taking Jerusalem, the Crusaders faced their first real counter-attack. The Fatimid vizier al-Afdal had assembled a large Egyptian relief army — chroniclers claim twenty thousand or more — and marched it up the coast to Ascalon to retake the Holy City. The Crusader leadership — Godfrey of Bouillon together with the two Roberts (of Normandy and Flanders) and Raymond of Toulouse — rode south with roughly twelve hundred knights and perhaps nine thousand infantry to meet the threat. On 12 August 1099 the Crusaders caught the Egyptian camp at dawn, scattering the Fatimid forces before they could form battle lines. Al-Afdal fled by sea; his army was destroyed. The victory secured the newborn kingdom's vulnerable southern flank and bought it years of breathing room — though Ascalon itself would not fall to the Crusaders until 1153.",,"Ashkelon, Israel",31.6619,34.5461,verified,Israel,,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Battle_of_Ascalon,Q827472,,,coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%A8%D7%91_%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F,battle_Battle_of_Ascalon_1099.jpg,https://crusaderatlas.com/?site=battle-of-ascalon-1099,https://crusaderatlas.com/sites/battle-of-ascalon-1099/
site/battle-of-belvoir-castle-1182,site,Battle of Belvoir Castle (1182),Belvoir 1182 | Battle of Forbelet,,,Battle (open-field engagement),Military engagement,,"On 15 July 1182, Baldwin IV — by now visibly disabled by leprosy and unable to ride without assistance — repulsed a major Saladin invasion at Belvoir Castle, on the bluff above the Jordan Valley. Commanding 700 knights and 9,000 infantry and Turcopoles, the king refused to be drawn into the open and held a tight defensive formation at the foot of the castle. The Ayyubid army inflicted heavy casualties on the Frankish infantry but could not break the knights, and after a day of inconclusive fighting Saladin withdrew. The engagement vindicated the Crusader doctrine of preserving the field army by refusing decisive open battle — the same principle that would be tragically discarded at Hattin five years later.",,"Belvoir Castle, Lower Galilee",32.5957,35.5191,approximate,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Battle_of_Belvoir_Castle,Q1836863,,,coordinate source: wikipedia; coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source.,,,,,Belvoir_fortress.JPG,https://crusaderatlas.com/?site=battle-of-belvoir-castle-1182,https://crusaderatlas.com/sites/battle-of-belvoir-castle-1182/
site/battle-of-cresson-1187,site,Battle of Cresson (1187),Springs of Cresson | Cresson,,,Battle (open-field engagement),Military engagement,,"On 1 May 1187, two months before the catastrophe at Hattin, a small Templar and Hospitaller force led by the Templar grand master Gerard of Ridefort intercepted a far larger Ayyubid raiding column near the Springs of Cresson, just outside Nazareth. Despite repeated warnings that the enemy outnumbered them ten to one, Gerard ordered an immediate charge. The result was a slaughter: the Hospitaller master Roger des Moulins was killed, and only Gerard and three knights escaped. The destruction of nearly a hundred trained military religious in a single afternoon stripped the kingdom of irreplaceable veterans on the very eve of Saladin's main invasion.",,"Springs of Cresson, near Saffuriya, Lower Galilee",32.7186,35.4017,approximate,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Battle_of_Cresson,Q577190,,,coordinate source: wikipedia; coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source.,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%A8%D7%91_%D7%A7%D7%A8%D7%A1%D7%95%D7%9F,Battle_of_Cresson.jpg,https://crusaderatlas.com/?site=battle-of-cresson-1187,https://crusaderatlas.com/sites/battle-of-cresson-1187/
site/battle-of-hattin-1187,site,Battle of Hattin (1187),Horns of Hattin,,,Battle (open-field engagement),Military engagement,,"The single most catastrophic day in Crusader history. By mid-1187 Saladin had united Egypt and Syria and assembled the largest Muslim army the Crusaders had ever faced. King Guy of Jerusalem, goaded by aggressive barons, marched his entire field army — some twenty thousand men, virtually every knight in the kingdom — away from the springs of Saffuriya on a waterless July march toward Tiberias. Saladin's cavalry harassed them relentlessly through the scorching heat. On the morning of 4 July the exhausted, parched Crusader army was trapped on the dry plateau near the twin-peaked hill known as the Horns of Hattin. Saladin's troops set fire to the scrub, blinding the Franks with smoke, and attacked from all sides. The relic of the True Cross was captured, King Guy was taken prisoner, and nearly every Crusader knight was killed or enslaved. In the aftermath Saladin received Guy in his tent and offered him a cup of iced water; Guy drank and passed it to Reynald of Châtillon, the lord of Oultrejordain whose attacks on Muslim pilgrim caravans had done more than anything else to trigger the war. Saladin, remarking that he had not given the cup to the traitor and so was not bound by the obligations of hospitality, personally struck Reynald down. Within months he had swept across the kingdom virtually unopposed, taking Jerusalem itself in October. The kingdom that had stood for eighty-eight years was reduced to the single port city of Tyre.",,"Horns of Hattin, Lower Galilee, Israel",32.8022,35.44,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Battle_of_Hattin,Q233568,,,coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%A8%D7%91_%D7%A7%D7%A8%D7%A0%D7%99_%D7%97%D7%99%D7%98%D7%99%D7%9F,battle_Battle_of_Hattin_1187.jpg,https://crusaderatlas.com/?site=battle-of-hattin-1187,https://crusaderatlas.com/sites/battle-of-hattin-1187/
site/battle-of-jaffa-1192,site,Battle of Jaffa (1192),,,,Battle (open-field engagement),Military engagement,,"The last major clash of the Third Crusade and perhaps Richard the Lionheart's most astonishing personal feat of arms. In late July 1192 Saladin launched a surprise assault on Jaffa while Richard was negotiating at Acre. The city's outer defences fell, and the small garrison retreated into the citadel. Richard raced south by galley with only a handful of knights and a few hundred Italian crossbowmen. He waded ashore and, with barely seventeen mounted knights and a thin line of infantry, counter-attacked Saladin's entire army on the open ground outside the walls. Crusader crossbow volleys devastated the Muslim cavalry charges, and Richard rode along the enemy line unchallenged — Saladin's brother al-Adil, watching from the enemy ranks, is said to have sent Richard two fresh horses during the fight, a chivalric gesture recorded by Saladin's secretary Baha ad-Din ibn Shaddad. The battle convinced both sides that outright victory was impossible, and within weeks they signed the Treaty of Jaffa, ending the Third Crusade.",,"Jaffa, Israel",32.0544,34.7516,verified,Israel,,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Battle_of_Jaffa_(1192),Q2008448,,,coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,,,,,battle_Battle_of_Jaffa_1192.jpg,https://crusaderatlas.com/?site=battle-of-jaffa-1192,https://crusaderatlas.com/sites/battle-of-jaffa-1192/
site/battle-of-montgisard-1177,site,Battle of Montgisard (1177),,,,Battle (open-field engagement),Military engagement,,"One of the most dramatic upsets in Crusader history. In November 1177 Saladin led a large raiding force — perhaps twenty-six thousand men — across the frontier from Egypt, pushing deep into the kingdom while its army was scattered. The sixteen-year-old King Baldwin IV, already suffering from leprosy, gathered what forces he could find: barely 375 knights, a company of Templars from Gaza, and a few thousand infantry. Carrying the relic of the True Cross, this small force intercepted Saladin near Montgisard, south of Ramla, on 25 November. The Crusader heavy cavalry charged directly into Saladin's army, shattering it so completely that Saladin himself barely escaped on a camel. It was the worst defeat of his career, and it made the young leper king a legend in both Christendom and the Muslim world.",,"Near Ramla, Israel",31.866,34.918,approximate,Israel,,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Battle_of_Montgisard,Q847287,,,coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source.,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%A8%D7%91_%D7%92%D7%96%D7%A8,battle_Battle_of_Montgisard_1177.jpg,https://crusaderatlas.com/?site=battle-of-montgisard-1177,https://crusaderatlas.com/sites/battle-of-montgisard-1177/
site/battle-of-yibneh-1123,site,Battle of Yibneh (1123),Battle of Ibelin | Battle of Yibna,,,Battle (open-field engagement),Military engagement,,"With Baldwin II in captivity in Aleppo, the regent Eustace Grenier led a Crusader field army of 7,000 men against a Fatimid invasion force of 16,000 sent by the vizier Al-Ma'mun al-Bata'ihi. They met on 29 May 1123 between Ascalon and Jaffa, near Yibna (Yavne). The Frankish charge shattered the Egyptian line, killing some 6,000 Fatimid soldiers. The following day, 30 May, the Venetian fleet under Doge Domenico Michiel destroyed the Fatimid navy off the coast of Jaffa. The twin victories effectively ended Fatimid offensive power against the kingdom and cleared the way for the Frankish siege of Tyre the following year.",,"Yavne (Yibna), Israel",31.8596,34.7411,verified,Israel,,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Battle_of_Yibneh,Q2498197,,,coordinate source: wikipedia; coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,,,,,,https://crusaderatlas.com/?site=battle-of-yibneh-1123,https://crusaderatlas.com/sites/battle-of-yibneh-1123/
site/battle-of-al-fule-1183,site,Battle of al-Fule (1183),Al-Fula | La Feve,,,Battle (open-field engagement),Military engagement,,"Between 30 September and 6 October 1183, the regent Guy of Lusignan — newly raised to the regency in place of the ailing Baldwin IV — confronted a major Saladin invasion of the Jezreel Valley. Guy mobilised the entire field army of the kingdom, more than 15,000 infantry and 1,300 to 1,500 knights, and concentrated them at the Templar fortress of La Feve (al-Fule). For a full week the two armies skirmished without joining a decisive battle. Despite the systematic destruction of Frankish farms and villages by Muslim raiders, Guy maintained strict discipline and refused every provocation. Eventually logistical pressure forced Saladin to withdraw. Tactically al-Fule was a model defensive operation that preserved the army intact; politically it was a disaster, because the native barons whose lands had been burned interpreted Guy's caution as cowardice, leading to his temporary removal as regent and to the murderous baronial pressure that would force him into the catastrophic march to Hattin in 1187.",,"Jezreel Valley, near Kibbutz Merhavia",32.6,35.3,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Battle_of_al-Fule,Q2246708,,,coordinate source: wikipedia; coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,,,,,,https://crusaderatlas.com/?site=battle-of-al-fule-1183,https://crusaderatlas.com/sites/battle-of-al-fule-1183/
